"field","field_type","field_description"
"state_id","integer","Unique state identifier"
"state_name","character","State name"
"locality_id","integer","Unique locality identifier"
"locality_name","character","Locality name"
"psu","integer","Primary sampling unit"
"uuid","numeric","Unique user identifier"
"age","integer","Age of child in months"
"sex","integer","Sex of child: 1 = Male; 2 = Female"
"diarrhoea","integer","Has child had diarrhoea in the past 2 weeks?: 1 = Yes; 0 = No"
"ari","integer","Has child had cough in the past 2 weeks?: 1 = Yes; 0 = No"
"fever","integer","Has child had fever in the past 2 weeks?: 1 = Yes; 0 = No"
"healthInsurance","integer","Does the child have health insurance?: 1 = Yes; 0 = No"
"itn","integer","Did the child sleep under an insecticide treated net last night?: 1 = Yes; 0 = No"
"muacPreviousMonth","integer","Did the child get measured with a MUAC tape in the past month?: 1 = Yes; 0 = No"
"muacPreviousThreeMonths","integer","Did the child get measured with a MUAC tape in the past three months?: 1 = Yes; 0 = No"
"gmpCoverage","integer","Did the child's height and weight get measured in the healt clinci in the past month?: 1 = Yes; 0 = No"
"iycfCounselling","integer","Did the child's mother attend infant and young child feeding counselling in the past month?: 1 = Yes; 0 = No"
"muac","integer","Child's MUAC in millimetres"
"haz","numeric","Child's height-for-age z-score"
"waz","numeric","Child's weight-for-age z-score"
"whz","numeric","Child's weight-for-height z-score"
"oedema","integer","Does the child have bipedal oedema?: 1 = Yes; 0 = No"
"vaccineRecord","integer","Does the child have vaccination card/record?: 1 = Yes; 0 = No"
"coverageBCG","integer","Has the child had BCG vaccination?: 1 = Yes; 0 = No"
"coveragePenta1","integer","Has the child had first Pentavalent vaccination?: 1 = Yes; 0 = No"
"coveragePenta3","integer","Has the child had third Pentavalent vaccination?: 1 = Yes; 0 = No"
"coverageOPV1","integer","Has the child had first oral polio vaccination?: 1 = Yes; 0 = No"
"coverageOPV3","integer","Has the child had third oral polio vaccination?: 1 = Yes; 0 = No"
"coverageMeasles1","integer","Has the child had first measles vaccination?: 1 = Yes; 0 = No"
"coverageMeasles2","integer","Has the child had third measles vaccination?: 1 = Yes; 0 = No"
"fullEPI.noRota","integer","Has the child had full set of vaccinations (except rotavirus)?: 1 = Yes; 0 = No"
"vitA","integer","In the past 6 months, has the child received vitamin A drops/supplementation?: 1 = Yes; 0 = No"
"accessPreSchool","integer","Is the child attending pre-school?: 1 = Yes; 0 = No"
"accessBasicEducation","integer","Is the child attending basic education/primary?: 1 = Yes; 0 = No"
"accessEducation","integer","Is the child attending pre-school or basic education/primary?: 1 = Yes; 0 = No"
"mixedEducation","integer","Is the child attending formal education and madrasah/Arabic school?: 1 = Yes; 0 = No"
"everAttendedSchool","integer","Has the child ever attended school?: 1 = Yes; 0 = No"
"noSchools","integer","Reason for not attending school: No school in village/area"
"noWASH","integer","Reason for not attending school: No water and sanitation facilities in school"
"illDisability","integer","Reason for not attending school: Child has illness and/or disability"
"schoolFar","integer","Reason for not attending school: School is too far"
"childWorking","integer","Reason for not attending school: Child is working"
"earlyMarriage","integer","Reason for not attending school: Child has married early"
"schoolFees","integer","Reason for not attending school: Cannot pay for school fees"
"displacement","integer","Reason for not attending school: Child and family are currently displaced"
"otherReasons","integer","Reason for not attending school: Other reasons"
