"State","Locality","Beginning Of Month","New Admissions","Male","Female","Cured","Death","Default","Non-Responder","Total Discharge","Rutf Consumed","Screening","Sites","Month","Year"
"Gazera","El Qurashi",16,16,8,8,23,0,3,0,26,80,49,NA,"Jan","2016"
"Gazera","El Qurashi",56,24,11,13,0,0,0,0,0,-46,298,NA,"Apr","2016"
"Gazera","El Qurashi",80,41,16,25,22,0,2,0,24,16,225,NA,"May","2016"
"Gazera","El Qurashi",81,43,21,22,29,0,0,0,29,22,215,NA,"Jun","2016"
"Gazera","El Qurashi",93,51,31,30,36,2,0,0,38,14,0,NA,"Jul","2016"
"Gazera","El Qurashi",103,59,34,25,3,0,0,0,3,12,289,NA,"Aug","2016"
"Gazera","El Qurashi",163,69,34,35,8,0,12,2,22,8,0,NA,"Sep","2016"
"Gazera","El Qurashi",104,108,56,40,6,0,47,0,53,-40,0,NA,"Oct","2016"
"Gazera","El Qurashi",275,123,61,62,111,0,81,2,194,32,0,NA,"Nov","2016"
"Gazera","El Qurashi",204,81,39,40,52,0,8,2,62,52,293,NA,"Dec","2016"
"Gazera","El Kamlin",8,8,3,5,0,0,0,0,0,4,8,NA,"Jan","2016"
"Gazera","El Kamlin",119,19,11,8,2,0,2,1,5,16,7,NA,"Mar","2016"
"Gazera","El Kamlin",133,8,5,3,18,0,2,1,21,18,182,NA,"Apr","2016"
"Gazera","El Kamlin",120,22,15,7,8,0,0,1,9,6,552,NA,"May","2016"
"Gazera","El Kamlin",134,9,5,4,15,0,13,0,28,15,285,NA,"Jun","2016"
"Gazera","El Kamlin",115,10,5,5,8,0,10,0,18,19,8,NA,"Jul","2016"
"Gazera","El Kamlin",107,46,25,21,0,0,1,0,1,9,0,NA,"Aug","2016"
"Gazera","El Kamlin",158,119,55,32,22,0,9,0,31,29,1210,NA,"Sep","2016"
"Gazera","El Kamlin",246,56,23,33,91,0,0,0,91,79,0,NA,"Oct","2016"
"Gazera","El Kamlin",212,37,20,17,24,0,7,0,31,58,0,NA,"Nov","2016"
"Gazera","El Kamlin",216,23,13,10,28,0,38,0,66,37,739,NA,"Dec","2016"
"Gazera","El Manaqil",95,30,10,20,13,1,16,0,30,15,30,NA,"Jan","2016"
"Gazera","El Manaqil",98,34,17,17,19,0,58,0,77,58,34,NA,"Feb","2016"
"Gazera","El Manaqil",54,15,9,6,28,0,0,0,28,11,318,NA,"Mar","2016"
"Gazera","El Manaqil",40,23,16,7,27,0,3,0,30,11,410,NA,"Apr","2016"
"Gazera","El Manaqil",41,12,7,5,13,0,3,0,16,11,344,NA,"Jun","2016"
"Gazera","El Manaqil",17,24,13,11,4,0,2,0,6,11,0,NA,"Jul","2016"
"Gazera","El Manaqil",34,134,63,75,0,0,0,0,0,21,1675,NA,"Aug","2016"
"Gazera","El Manaqil",156,145,75,74,21,0,12,0,33,73,1829,NA,"Sep","2016"
"Gazera","El Manaqil",267,113,60,53,124,4,28,0,156,59,0,NA,"Oct","2016"
"Gazera","El Manaqil",222,65,35,30,106,1,24,0,131,51,0,NA,"Nov","2016"
"Gazera","El Manaqil",160,34,20,14,47,2,27,0,76,38,420,NA,"Dec","2016"
"Gazera","Ganub Elgazira",258,31,12,19,5,0,23,0,28,22,31,NA,"Jan","2016"
"Gazera","Ganub Elgazira",266,29,20,9,12,0,7,0,19,33,29,NA,"Feb","2016"
"Gazera","Ganub Elgazira",291,9,4,5,2,0,6,1,9,16,614,NA,"Mar","2016"
"Gazera","Ganub Elgazira",116,7,5,0,4,1,15,0,20,8,180,NA,"Apr","2016"
"Gazera","Ganub Elgazira",131,5,1,4,0,0,0,0,0,5,107,NA,"May","2016"
"Gazera","Ganub Elgazira",176,19,8,11,15,6,13,1,35,8,333,NA,"Jun","2016"
"Gazera","Ganub Elgazira",161,8,6,2,0,1,4,1,6,10,79,NA,"Jul","2016"
"Gazera","Ganub Elgazira",166,64,28,36,7,0,5,0,12,35.2,130,NA,"Aug","2016"
"Gazera","Ganub Elgazira",218,646,312,334,90,2,3,0,95,158.8,4363,NA,"Sep","2016"
"Gazera","Ganub Elgazira",287,149,87,63,94,1,75,0,170,-196,651,NA,"Oct","2016"
"Gazera","Ganub Elgazira",658,84,38,38,78,2,49,0,129,76,440,NA,"Nov","2016"
"Gazera","Ganub Elgazira",616,49,28,22,49,0,28,0,77,-73,529,NA,"Dec","2016"
"Gazera","Greater Medani",95,81,39,42,28,0,15,3,46,42,81,NA,"Jan","2016"
"Gazera","Greater Medani",130,70,24,46,7,0,11,3,21,27,70,NA,"Feb","2016"
"Gazera","Greater Medani",210,140,67,73,114,16,48,1,179,25,684,NA,"Mar","2016"
"Gazera","Greater Medani",133,54,27,27,31,2,23,1,57,-38,822,NA,"Apr","2016"
"Gazera","Greater Medani",130,17,28,26,18,2,15,0,35,28,960,NA,"May","2016"
"Gazera","Greater Medani",50,16,5,11,5,0,16,1,22,5,636,NA,"Jun","2016"
"Gazera","Greater Medani",64,236,139,88,149,20,52,0,221,-381,824,NA,"Jul","2016"
"Gazera","Greater Medani",192,728,386,331,214,50,77,1,342,100.5,644,NA,"Aug","2016"
"Gazera","Greater Medani",394,479,242,237,210,54,253,6,523,124,541,NA,"Sep","2016"
"Gazera","Greater Medani",363,305,145,160,227,36,109,0,372,-6,0,NA,"Oct","2016"
"Gazera","Greater Medani",317,156,82,74,94,14,79,1,188,68,0,NA,"Nov","2016"
"Gazera","Greater Medani",287,103,62,42,71,7,33,4,115,93,0,NA,"Dec","2016"
"Gazera","Sharg El Gezira",174,35,17,18,27,1,12,2,42,17,104,NA,"Jan","2016"
"Gazera","Sharg El Gezira",105,20,8,12,10,0,0,0,10,-77,20,NA,"Feb","2016"
"Gazera","Sharg El Gezira",185,44,20,12,32,0,12,0,44,23,512,NA,"Mar","2016"
"Gazera","Sharg El Gezira",177,41,18,23,8,7,10,0,25,34,713,NA,"Apr","2016"
"Gazera","Sharg El Gezira",196,29,7,17,40,0,6,0,46,34,535,NA,"May","2016"
"Gazera","Sharg El Gezira",158,11,4,7,12,0,2,0,14,55,341,NA,"Jun","2016"
"Gazera","Sharg El Gezira",44,6,2,4,19,0,18,0,37,11,170,NA,"Jul","2016"
"Gazera","Sharg El Gezira",13,44,21,23,21,0,7,0,28,40,0,NA,"Aug","2016"
"Gazera","Sharg El Gezira",137,93,41,52,36,2,12,0,50,46,1723,NA,"Sep","2016"
"Gazera","Sharg El Gezira",183,40,13,27,34,0,15,2,51,52,799,NA,"Oct","2016"
"Gazera","Sharg El Gezira",172,121,51,70,92,4,29,0,125,63,0,NA,"Nov","2016"
"Gazera","Sharg El Gezira",171,54,23,31,35,2,15,0,52,30,1164,NA,"Dec","2016"
"Gazera","Um Elqura",200,42,14,28,13,0,0,0,13,12,42,NA,"Jan","2016"
"Gazera","Um Elqura",233,26,13,13,0,0,0,0,0,6,26,NA,"Feb","2016"
"Gazera","Um Elqura",235,26,15,12,7,0,5,0,12,7,60,NA,"Mar","2016"
"Gazera","Um Elqura",248,16,12,4,17,0,10,3,30,135,116,NA,"Apr","2016"
"Gazera","Um Elqura",242,37,13,24,18,0,2,0,20,62,386,NA,"May","2016"
"Gazera","Um Elqura",261,33,13,20,20,0,8,0,28,30,395,NA,"Jun","2016"
"Gazera","Um Elqura",267,34,17,17,6,0,8,0,14,12,0,NA,"Jul","2016"
"Gazera","Um Elqura",290,82,34,48,33,0,43,0,76,32,1324,NA,"Aug","2016"
"Gazera","Um Elqura",294,195,96,99,23,0,19,1,43,60,2125,NA,"Sep","2016"
"Gazera","Um Elqura",446,72,29,43,54,2,28,3,87,64,378,NA,"Oct","2016"
"Gazera","Um Elqura",430,48,24,24,73,1,53,2,129,53,0,NA,"Nov","2016"
"Gazera","Um Elqura",350,35,21,15,72,0,38,1,111,38,0,NA,"Dec","2016"
"Gazera","El Hassahisa",38,67,40,27,40,1,0,2,43,10,69,NA,"Jan","2016"
"Gazera","El Hassahisa",22,40,18,32,35,3,0,0,38,12,40,NA,"Feb","2016"
"Gazera","El Hassahisa",24,34,20,14,31,1,0,1,33,4,98,NA,"Mar","2016"
"Gazera","El Hassahisa",22,35,20,10,24,1,0,1,26,3,100,NA,"Apr","2016"
"Gazera","El Hassahisa",4,43,13,30,18,2,1,0,21,6,116,NA,"Jun","2016"
"Gazera","El Hassahisa",38,110,48,61,64,4,12,1,81,8,50,NA,"Jul","2016"
"Gazera","El Hassahisa",14,118,68,50,72,5,4,0,81,137,0,NA,"Aug","2016"
"Gazera","El Hassahisa",37,450,222,205,223,11,10,0,244,51.5,476,NA,"Sep","2016"
"Gazera","El Hassahisa",271,178,91,89,111,9,28,0,148,45.5,0,NA,"Oct","2016"
